Date : 2025-09-27 22:23:52
Directory : d:\项目\计算机网络课设
Total : 238 files,  42236 codes, 6712 comments, 10380 blanks, all 59328 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| LightweightPacketAnalyzer\src\network_analyzer\capture                                                 |          2 |        165 |         91 |         48 |        304 |
| LightweightPacketAnalyzer\src\network_analyzer\config                                                  |          2 |        402 |        219 |         84 |        705 |
| LightweightPacketAnalyzer\src\network_analyzer\gui                                                     |         17 |      4,914 |      1,685 |      1,255 |      7,854 |
| LightweightPacketAnalyzer\src\network_analyzer\gui (Files)                                             |          5 |      2,021 |        798 |        419 |      3,238 |
| LightweightPacketAnalyzer\src\network_analyzer\gui\components                                          |          5 |      1,199 |        378 |        329 |      1,906 |
| LightweightPacketAnalyzer\src\network_analyzer\gui\dialogs                                             |          7 |      1,694 |        509 |        507 |      2,710 |
| LightweightPacketAnalyzer\src\network_analyzer\processing                                              |          3 |        547 |        287 |        152 |        986 |
| LightweightPacketAnalyzer\src\network_analyzer\reports                                                 |         16 |      2,712 |      1,088 |        612 |      4,412 |
| LightweightPacketAnalyzer\src\network_analyzer\reports (Files)                                         |          3 |        559 |        214 |        155 |        928 |
| LightweightPacketAnalyzer\src\network_analyzer\reports\charts                                          |          3 |        445 |        230 |        131 |        806 |
| LightweightPacketAnalyzer\src\network_analyzer\reports\generators                                      |          4 |      1,022 |        451 |        195 |      1,668 |
| LightweightPacketAnalyzer\src\network_analyzer\reports\templates                                       |          6 |        686 |        193 |        131 |      1,010 |
| LightweightPacketAnalyzer\src\network_analyzer\reports\templates (Files)                               |          3 |        310 |        178 |         82 |        570 |
| LightweightPacketAnalyzer\src\network_analyzer\reports\templates\css                                   |          1 |         94 |          2 |         19 |        115 |
| LightweightPacketAnalyzer\src\network_analyzer\reports\templates\html                                  |          2 |        282 |         13 |         30 |        325 |
| LightweightPacketAnalyzer\src\network_analyzer\statistics                                              |          3 |        595 |        240 |        141 |        976 |
| LightweightPacketAnalyzer\src\network_analyzer\storage                                                 |          2 |        401 |        412 |         88 |        901 |
| LightweightPacketAnalyzer\tests                                                                        |          9 |      2,203 |        659 |        707 |      3,569 |
| docs                                                                                                   |         47 |      9,480 |          0 |      2,465 |     11,945 |
| docs (Files)                                                                                           |          2 |        138 |          0 |         64 |        202 |
| docs\GUI集成                                                                                             |         12 |      2,392 |          0 |        640 |      3,032 |
| docs\ttkbootstrap主题切换                                                                                  |          8 |      1,435 |          0 |        348 |      1,783 |
| docs\剩余功能实现                                                                                            |          9 |      1,842 |          0 |        495 |      2,337 |
| docs\流量趋势                                                                                              |          4 |        811 |          0 |        199 |      1,010 |
| docs\生成报告                                                                                              |          1 |        146 |          0 |         40 |        186 |
| docs\网络流量统计                                                                                            |          6 |      1,322 |          0 |        296 |      1,618 |
| docs\设置功能                                                                                              |          5 |      1,394 |          0 |        383 |      1,777 |
| logs                                                                                                   |          1 |      2,537 |          0 |          1 |      2,538 |
| reports                                                                                                |          3 |        684 |         12 |         58 |        754 |
| 课程设计要求以及实验报告模板                                                                                         |          1 |         58 |          0 |         87 |        145 |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                               | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\项目\计算机网络课设\.cunzhi-memory\context.md                                                                | Markdown   |          1 |          0 |          2 |          3 |
| d:\项目\计算机网络课设\.cunzhi-memory\metadata.json                                                             | JSON       |          6 |          0 |          0 |          6 |
| d:\项目\计算机网络课设\.cunzhi-memory\patterns.md                                                               | Markdown   |          1 |          0 |          2 |          3 |
| d:\项目\计算机网络课设\.cunzhi-memory\preferences.md                                                            | Markdown   |          1 |          0 |          2 |          3 |
| d:\项目\计算机网络课设\.cunzhi-memory\rules.md                                                                  | Markdown   |          1 |          0 |          2 |          3 |
| d:\项目\计算机网络课设\.env                                                                                     | Properties |         38 |         11 |         10 |         59 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\README.md                                                      | Markdown   |        118 |          0 |         34 |        152 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\add_raw_data.py                                                | Python     |         77 |         17 |         22 |        116 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\check_all_packets.py                                           | Python     |         63 |          9 |         15 |         87 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\check_db.py                                                    | Python     |         23 |          8 |         10 |         41 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\check_db_structure.py                                          | Python     |         36 |          9 |         14 |         59 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\check_latest_packets.py                                        | Python     |         72 |          7 |         17 |         96 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\check_session55.py                                             | Python     |         37 |          4 |          8 |         49 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\check_session_79_packets.py                                    | Python     |         44 |         10 |         16 |         70 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\check_sessions.py                                              | Python     |         21 |          3 |          6 |         30 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\clean_duplicate_packets.py                                     | Python     |        104 |         18 |         35 |        157 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\debug_database.py                                              | Python     |         84 |         11 |         16 |        111 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\debug_duplicate_gui.py                                         | Python     |        101 |         19 |         31 |        151 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\debug_duplicate_packets.py                                     | Python     |         85 |         13 |         22 |        120 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\debug_gui_startup.py                                           | Python     |        175 |         27 |         47 |        249 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\debug_packets.py                                               | Python     |         47 |          8 |         13 |         68 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\debug_session.py                                               | Python     |         27 |          3 |          7 |         37 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\debug_session_79.py                                            | Python     |         71 |         11 |         18 |        100 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\debug_session_issue.py                                         | Python     |        108 |         13 |         28 |        149 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\debug_session_packets.py                                       | Python     |         66 |         11 |         14 |         91 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\debug_test.py                                                  | Python     |         43 |         12 |         15 |         70 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.1新建会话\ACCEPTANCE_T1.1新建会话.md                           | Markdown   |        431 |          0 |         89 |        520 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.1新建会话\FINAL_T1.1新建会话.md                                | Markdown   |        213 |          0 |         59 |        272 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.1新建会话\TODO_T1.1新建会话.md                                 | Markdown   |        223 |          0 |         53 |        276 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.2打开会话\ALIGNMENT_T1.2打开会话.md                            | Markdown   |        124 |          0 |         29 |        153 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.2打开会话\APPROVAL_T1.2打开会话.md                             | Markdown   |        194 |          0 |         55 |        249 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.2打开会话\DESIGN_T1.2打开会话.md                               | Markdown   |        348 |          0 |        101 |        449 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.2打开会话\TASK_T1.2打开会话.md                                 | Markdown   |        433 |          0 |        100 |        533 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.3保存会话\ACCEPTANCE_T1.3保存会话.md                           | Markdown   |        124 |          0 |         29 |        153 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.3保存会话\ALIGNMENT_T1.3保存会话.md                            | Markdown   |         91 |          0 |         25 |        116 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.3保存会话\CONSENSUS_T1.3保存会话.md                            | Markdown   |         69 |          0 |         21 |         90 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.3保存会话\DESIGN_T1.3保存会话.md                               | Markdown   |        205 |          0 |         58 |        263 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.3保存会话\FINAL_T1.3保存会话.md                                | Markdown   |        112 |          0 |         34 |        146 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.3保存会话\TASK_T1.3保存会话.md                                 | Markdown   |        182 |          0 |         49 |        231 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.3保存会话\TODO_T1.3保存会话.md                                 | Markdown   |        105 |          0 |         38 |        143 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\协议统计\ACCEPTANCE_协议统计.md                                   | Markdown   |        210 |          0 |         46 |        256 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\协议统计\FIX_REPORT_CSVExport.md                              | Markdown   |        116 |          0 |         35 |        151 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\协议统计\FIX_REPORT_ChartDisplay.md                           | Markdown   |         80 |          0 |         15 |         95 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\单元测试修复\ACCEPTANCE_单元测试修复.md                               | Markdown   |         55 |          0 |         19 |         74 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\单元测试修复\FINAL_单元测试修复.md                                    | Markdown   |         83 |          0 |         26 |        109 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\导出数据统计指标修复\FINAL_导出数据统计指标修复.md                            | Markdown   |        121 |          0 |         37 |        158 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\导出数据统计指标修复\TODO_导出数据统计指标修复.md                             | Markdown   |        109 |          0 |         34 |        143 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\打开会话功能\ACCEPTANCE_打开会话功能.md                               | Markdown   |        117 |          0 |         32 |        149 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\打开会话功能\FINAL_打开会话功能.md                                    | Markdown   |        109 |          0 |         33 |        142 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\打开会话功能\TODO_打开会话功能.md                                     | Markdown   |        109 |          0 |         29 |        138 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\报告生成Bug修复\FINAL_报告生成Bug修复.md                              | Markdown   |        131 |          0 |         40 |        171 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\ACCEPTANCE_捕获选项功能.md                               | Markdown   |         99 |          0 |         21 |        120 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\ALIGNMENT_捕获选项功能.md                                | Markdown   |        148 |          0 |         34 |        182 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\CONSENSUS_捕获选项功能.md                                | Markdown   |        113 |          0 |         28 |        141 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\DESIGN_捕获选项功能.md                                   | Markdown   |        325 |          0 |         77 |        402 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\FINAL_捕获选项功能.md                                    | Markdown   |        144 |          0 |         38 |        182 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\TASK_捕获选项功能.md                                     | Markdown   |        360 |          0 |         90 |        450 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\TODO_捕获选项功能.md                                     | Markdown   |        145 |          0 |         44 |        189 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\ACCEPTANCE_数据包详情显示.md                             | Markdown   |        118 |          0 |         32 |        150 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\ALIGNMENT_数据包详情显示.md                              | Markdown   |        115 |          0 |         28 |        143 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\APPROVAL_数据包详情显示.md                               | Markdown   |        227 |          0 |         84 |        311 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\CONSENSUS_数据包详情显示.md                              | Markdown   |        118 |          0 |         31 |        149 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\DEBUG_数据包详情显示.md                                  | Markdown   |        141 |          0 |         40 |        181 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\DESIGN_数据包详情显示.md                                 | Markdown   |        429 |          0 |         91 |        520 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\FINAL_数据包详情显示.md                                  | Markdown   |        179 |          0 |         43 |        222 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\TASK_数据包详情显示.md                                   | Markdown   |        378 |          0 |         97 |        475 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\TODO_数据包详情显示.md                                   | Markdown   |         67 |          0 |         22 |         89 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\生成报告\ACCEPTANCE_生成报告.md                                   | Markdown   |        153 |          0 |         62 |        215 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\生成报告\APPROVAL_生成报告.md                                     | Markdown   |        153 |          0 |         60 |        213 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\生成报告\DESIGN_生成报告.md                                       | Markdown   |        287 |          0 |         72 |        359 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\生成报告\FINAL_生成报告.md                                        | Markdown   |        156 |          0 |         57 |        213 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\生成报告\TASK_生成报告.md                                         | Markdown   |        382 |          0 |         85 |        467 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\生成报告\TODO_生成报告.md                                         | Markdown   |        165 |          0 |         54 |        219 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\生成报告\UI_IMPROVEMENT_报告对话框.md                              | Markdown   |         91 |          0 |         29 |        120 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\pyproject.toml                                                 | toml       |         82 |          0 |         10 |         92 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\reports\network_analysis_report_20250926_215350.html           | HTML       |        238 |          4 |         21 |        263 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\reports\network_analysis_report_20250926_220820.html           | HTML       |        232 |          4 |         20 |        256 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\reports\network_analysis_report_20250926_220904.html           | HTML       |        220 |          4 |         18 |        242 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\reports\network_analysis_report_20250926_234413.html           | HTML       |        226 |          4 |         19 |        249 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\reports\network_analysis_report_20250926_235953.html           | HTML       |        365 |         13 |         27 |        405 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\__init__.py                               | Python     |         12 |          7 |          3 |         22 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\__init__.py                      | Python     |          8 |          5 |          2 |         15 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\arp_parser.py                    | Python     |        103 |         85 |         30 |        218 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\base_parser.py                   | Python     |         66 |         62 |         27 |        155 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\ethernet_parser.py               | Python     |         56 |         63 |         24 |        143 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\ip_parser.py                     | Python     |        139 |        103 |         48 |        290 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\packet_cache.py                  | Python     |        124 |         97 |         37 |        258 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\packet_formatter.py              | Python     |        188 |        118 |         62 |        368 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\protocol_parser.py               | Python     |        157 |         96 |         49 |        302 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\transport_parser.py              | Python     |        149 |        115 |         50 |        314 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\capture\__init__.py                       | Python     |          2 |          5 |          2 |          9 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\capture\packet_capture.py                 | Python     |        163 |         86 |         46 |        295 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\config\__init__.py                        | Python     |          2 |          5 |          2 |          9 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\config\settings.py                        | Python     |        400 |        214 |         82 |        696 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\__init__.py                           | Python     |          2 |          5 |          2 |          9 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\chart_manager.py                      | Python     |        268 |        119 |         75 |        462 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\components\__init__.py                | Python     |          8 |          5 |          2 |         15 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\components\bpf_validator.py           | Python     |        211 |         59 |         57 |        327 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\components\capture_options_dialog.py  | Python     |        438 |        121 |        148 |        707 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\components\filter_template_manager.py | Python     |        304 |         90 |         63 |        457 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\components\interface_info_provider.py | Python     |        238 |        103 |         59 |        400 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\dialogs\__init__.py                   | Python     |          2 |          6 |          2 |         10 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\dialogs\advanced_settings_tab.py      | Python     |        201 |         46 |         51 |        298 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\dialogs\basic_settings_tab.py         | Python     |        217 |         39 |         62 |        318 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\dialogs\protocol_stats_dialog.py      | Python     |        347 |        100 |        101 |        548 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\dialogs\report_generation_dialog.py   | Python     |        319 |         92 |        109 |        520 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\dialogs\settings_dialog.py            | Python     |        267 |        109 |         83 |        459 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\dialogs\theme_settings_tab.py         | Python     |        341 |        117 |         99 |        557 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\main_window.py                        | Python     |      1,296 |        488 |        209 |      1,993 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\theme_manager.py                      | Python     |        184 |        109 |         50 |        343 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\traffic_trends_dialog.py              | Python     |        271 |         77 |         83 |        431 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\main.py                                   | Python     |         72 |         26 |         21 |        119 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\processing\__init__.py                    | Python     |          2 |          5 |          2 |          9 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\processing\data_processor.py              | Python     |        403 |        165 |        101 |        669 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\processing\traffic_data_processor.py      | Python     |        142 |        117 |         49 |        308 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\reports\__init__.py                       | Python     |          8 |         14 |          3 |         25 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\reports\charts\__init__.py                | Python     |          6 |          7 |          2 |         15 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\reports\charts\chart_generator.py         | Python     |        334 |        144 |        102 |        580 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\reports\charts\matplotlib_renderer.py     | Python     |        105 |         79 |         27 |        211 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\reports\data_collector.py                 | Python     |        207 |         82 |         66 |        355 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\reports\generators\__init__.py            | Python     |          8 |          8 |          2 |         18 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\reports\generators\csv_generator.py       | Python     |        291 |        142 |         86 |        519 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\reports\generators\html_generator.py      | Python     |        425 |        134 |         60 |        619 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\reports\generators\pdf_generator.py       | Python     |        298 |        167 |         47 |        512 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\reports\report_generator.py               | Python     |        344 |        118 |         86 |        548 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\reports\templates\__init__.py             | Python     |          6 |          7 |          2 |         15 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\reports\templates\css\report.css          | PostCSS    |         94 |          2 |         19 |        115 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\reports\templates\html\base.html          | HTML       |         28 |          0 |          3 |         31 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\reports\templates\html\report.html        | HTML       |        254 |         13 |         27 |        294 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\reports\templates\jinja2_renderer.py      | Python     |        171 |         99 |         42 |        312 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\reports\templates\template_manager.py     | Python     |        133 |         72 |         38 |        243 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\statistics\__init__.py                    | Python     |          3 |          5 |          2 |         10 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\statistics\protocol_statistics.py         | Python     |        259 |         91 |         53 |        403 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\statistics\statistics_visualizer.py       | Python     |        333 |        144 |         86 |        563 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\storage\__init__.py                       | Python     |          2 |          5 |          2 |          9 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\storage\data_manager.py                   | Python     |        399 |        407 |         86 |        892 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\test_insert_packets.py                                     | Python     |        131 |         20 |         26 |        177 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_all_packets.py                                            | Python     |         40 |          5 |         12 |         57 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_chart_fix.py                                              | Python     |         47 |         10 |         14 |         71 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_complete_settings.py                                      | Python     |        178 |         27 |         53 |        258 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_complete_theme_system.py                                  | Python     |        299 |         49 |         82 |        430 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_csv_export_fix.py                                         | Python     |        118 |         20 |         27 |        165 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_duplicate_fix.py                                          | Python     |        106 |         19 |         24 |        149 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_font_fix.py                                               | Python     |        129 |         26 |         38 |        193 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_gui_integration.py                                        | Python     |         87 |         12 |         27 |        126 |
